id,latitude,longitude,corridor,corridor_final,corridor_confidence,corridor_agreement,corridor_source
FKID000000,13.0400041,77.5180991,Tumkur Road,Tumkur Road,1.0,1,original
FKID000001,12.9218755,77.6451585,ORR East 1,ORR East 1,1.0,1,original
FKID000002,12.955622,77.5857083,Non-corridor,Mysore Road,0.8866666666666667,1,predicted
FKID000003,13.0061469,77.5794348,Non-corridor,Bellary Road 1,0.845,1,predicted
FKID000004,12.95398,77.5852333,Non-corridor,Mysore Road,0.8506677359868247,1,predicted
FKID000005,13.0664854,77.5998755,Non-corridor,Bellary Road 2,0.9550000000000001,1,predicted
FKID000006,12.9328703,77.4879814,Non-corridor,Mysore Road,0.97,1,predicted
FKID000007,12.973175,77.6003961,Non-corridor,Non-corridor,0.6096663173512035,1,unresolved
FKID000009,13.0373543,77.6540442,Non-corridor,Non-corridor,0.9183333333333333,0,unresolved
FKID000010,13.0008457,77.6813712,ORR East 2,ORR East 2,1.0,1,original
FKID000011,12.94457,77.5274017,ORR West 1,ORR West 1,1.0,1,original
FKID000012,12.9995223,77.6827499,ORR East 2,ORR East 2,1.0,1,original
FKID000013,13.0418933,77.594705,ORR North 1,ORR North 1,1.0,1,original
FKID000014,12.975285,77.6256902,Old Madras Road,Old Madras Road,1.0,1,original
FKID000015,13.0633917,77.5933483,Bellary Road 2,Bellary Road 2,1.0,1,original
FKID000016,13.063425,77.5933,Bellary Road 2,Bellary Road 2,1.0,1,original
FKID000017,13.0254527,77.6417388,ORR North 1,ORR North 1,1.0,1,original
FKID000018,12.9233517,77.5904883,Non-corridor,Non-corridor,0.7716666666666667,0,unresolved
FKID000019,13.0001393,77.5840594,Bellary Road 1,Bellary Road 1,1.0,1,original
FKID000020,12.9071221,77.6286395,Hosur Road,Hosur Road,1.0,1,original
FKID000021,12.927375,77.5806883,Non-corridor,ORR West 1,0.8617875502659549,1,predicted
FKID000022,12.9169074,77.5950955,Non-corridor,Non-corridor,0.7849999999999999,1,unresolved
FKID000023,12.9667047,77.6615983,Non-corridor,Non-corridor,0.6966666666666667,0,unresolved
FKID000024,12.8966387,77.7202071,Non-corridor,Non-corridor,0.7016666666666667,1,unresolved
FKID000025,12.9463911,77.597326,Non-corridor,Non-corridor,0.6647739784136544,0,unresolved
FKID000026,12.9856042,77.5977438,Non-corridor,CBD 2,0.985,1,predicted
FKID000027,12.9077383,77.6005709,Bannerghata Road,Bannerghata Road,1.0,1,original
FKID000028,12.9635109,77.6642122,Non-corridor,Old Airport Road,0.9183333333333333,1,predicted
FKID000029,12.9667073,77.6615616,Non-corridor,Non-corridor,0.6966666666666667,0,unresolved
FKID000030,12.9666867,77.6616478,Non-corridor,Non-corridor,0.6966666666666667,0,unresolved
