id,event_cause_code,corridor_final_code,police_station_code,event_type_planned,priority_high,was_escalated_int,is_weekend_int,hour,dow_num,month,signal_score,latitude,longitude,corridor_final,event_cause,corridor_confidence,corridor_agreement,corridor_source,requires_road_closure
FKID000000,0,0,0,0,1,1,0,17,3,3,0.0798805970603699,13.0400041,77.5180991,Tumkur Road,vehicle_breakdown,1.0,1,original,False
FKID000001,0,1,1,0,1,1,0,4,1,1,0.06057421390104556,12.9218755,77.6451585,ORR East 1,vehicle_breakdown,1.0,1,original,False
FKID000002,1,2,2,0,0,1,1,6,5,11,0.08747777342556606,12.955622,77.5857083,Mysore Road,others,0.8866666666666667,1,predicted,False
FKID000003,2,3,3,0,0,1,0,17,3,3,0.15461429273790173,13.0061469,77.5794348,Bellary Road 1,tree_fall,0.845,1,predicted,True
FKID000004,0,2,2,0,0,1,0,4,1,1,0.06845627778310945,12.95398,77.5852333,Mysore Road,vehicle_breakdown,0.8506677359868247,1,predicted,False
FKID000005,3,4,4,0,0,1,0,3,1,11,0.05241199928553512,13.0664854,77.5998755,Bellary Road 2,accident,0.9550000000000001,1,predicted,False
FKID000006,0,2,5,0,0,1,0,7,1,1,0.07655184725654948,12.9328703,77.4879814,Mysore Road,vehicle_breakdown,0.97,1,predicted,False
FKID000007,1,5,6,0,0,1,0,6,1,1,0.08647224483674935,12.973175,77.6003961,Non-corridor,others,0.6096663173512035,1,unresolved,False
FKID000009,0,5,7,0,0,1,0,5,1,1,0.07092930373667707,13.0373543,77.6540442,Non-corridor,vehicle_breakdown,0.9183333333333333,0,unresolved,False
FKID000010,4,6,8,0,1,1,0,18,3,3,0.07823232407202935,13.0008457,77.6813712,ORR East 2,water_logging,1.0,1,original,False
FKID000011,0,7,9,0,1,1,0,5,1,1,0.06099135787759454,12.94457,77.5274017,ORR West 1,vehicle_breakdown,1.0,1,original,False
FKID000012,4,6,10,0,1,1,0,18,3,3,0.07823232407202935,12.9995223,77.6827499,ORR East 2,water_logging,1.0,1,original,False
FKID000013,1,8,4,0,1,1,0,19,1,12,0.07378161765321718,13.0418933,77.594705,ORR North 1,others,1.0,1,original,False
FKID000014,5,9,11,0,1,1,0,19,3,3,0.05671432082621154,12.975285,77.6256902,Old Madras Road,pot_holes,1.0,1,original,False
FKID000015,1,4,12,0,1,1,0,19,3,3,0.0649080452495279,13.0633917,77.5933483,Bellary Road 2,others,1.0,1,original,False
FKID000016,1,4,12,0,1,1,0,19,3,3,0.0649080452495279,13.063425,77.5933,Bellary Road 2,others,1.0,1,original,False
FKID000017,1,8,7,0,1,1,0,19,3,3,0.07378161765321718,13.0254527,77.6417388,ORR North 1,others,1.0,1,original,False
FKID000018,2,5,13,0,0,1,0,19,3,3,0.13972428043637503,12.9233517,77.5904883,Non-corridor,tree_fall,0.7716666666666667,0,unresolved,False
FKID000019,0,3,3,0,1,1,0,4,1,1,0.060074812862845106,13.0001393,77.5840594,Bellary Road 1,vehicle_breakdown,1.0,1,original,False
FKID000020,0,10,14,0,1,1,0,19,3,3,0.05937266188208493,12.9071221,77.6286395,Hosur Road,vehicle_breakdown,1.0,1,original,False
FKID000021,2,7,13,0,0,1,0,19,3,3,0.12978633457729252,12.927375,77.5806883,ORR West 1,tree_fall,0.8617875502659549,1,predicted,True
FKID000022,5,5,13,0,0,1,0,22,4,1,0.06335977237304771,12.9169074,77.5950955,Non-corridor,pot_holes,0.7849999999999999,1,unresolved,False
FKID000023,5,5,15,0,0,1,0,8,1,1,0.06550862190452002,12.9667047,77.6615983,Non-corridor,pot_holes,0.6966666666666667,0,unresolved,False
FKID000024,4,5,16,0,0,1,0,19,3,3,0.07788160868534486,12.8966387,77.7202071,Non-corridor,water_logging,0.7016666666666667,1,unresolved,False
FKID000025,2,5,2,0,0,1,0,6,3,3,0.14794042098222984,12.9463911,77.597326,Non-corridor,tree_fall,0.6647739784136544,0,unresolved,True
